species,nichebreadth
Acacia_browniana,3.02774010963872e-05
Acacia_brownii,-8.23613692185062e-11
Acacia_brumalis,9.21608203245259e-08
Acacia_brunioides,-5.93039203037653e-13
Acacia_bulgaensis,9.63330563207295e-06
Acacia_burrowii,4.43861157892435e-09
Acacia_buxifolia,6.15953814911979e-13
Acacia_bynoeana,-1.97160308489131e-09
Acacia_caerulescens,4.78082787298874e-06
Acacia_caesariata,0.392585478861698
Acacia_caesiella,-1.85746259973837e-10
Acacia_calantha,0.00426448386979286
Acacia_calcarata,-0.00619211336423371
Acacia_calcicola,-3.07106837697354e-07
Acacia_calyculata,-1.82151750073128e-11
Acacia_cambagei,0.00010457054620768
Acacia_campylophylla,0.029822721792808
Acacia_cana,2.24191637513884e-09
Acacia_cangaiensis,-7.21602117236969e-09
Acacia_cardiophylla,4.39388716430822e-11
Acacia_carneorum,2.70910580162853e-09
Acacia_carnosula,0.000679376521036028
Acacia_caroleae,-1.10397870527986e-06
Acacia_catenulata,-1.07829254099272e-06
Acacia_cavealis,-1.5079130204627e-06
Acacia_celastrifolia,-4.63942694445521e-06
Acacia_chamaeleon,-0.00843765620164402
Acacia_chartacea,3.1909055821693e-05
Acacia_cheelii,1.15123703460007e-08
Acacia_chinchillensis,0.00578200900832676
Acacia_chippendalei,-0.00013216651647843
Acacia_chisholmii,-4.57315291071261e-06
Acacia_chrysella,-5.38897387502192e-07
Acacia_chrysocephala,-6.16189074411898e-08
Acacia_chrysochaeta,-0.000219746346326614
Acacia_chrysopoda,-0.034919606096026
Acacia_chrysotricha,3.79862814787712e-06
Acacia_cincinnata,-5.1250106238041e-10
Acacia_citrinoviridis,-5.32205863050495e-05
Acacia_clelandii,1.10277330017058e-06
Acacia_clunies-rossiae,8.36231696231964e-08
Acacia_clydonophora,2.1551598065815e-05
Acacia_cochlearis,1.77076844041335e-08
Acacia_cochlocarpa,-2.68742051751755e-06
Acacia_comans,-0.000365422927920117
Acacia_complanata,1.82288476574785e-07
Acacia_concurrens,-5.31385100463654e-11
Acacia_conferta,3.63133093719787e-06
Acacia_confluens,1.40639456613887e-05
Acacia_confusa,0.0624795576547728
Acacia_congesta,-5.19346922892997e-08
Acacia_conniana,3.02880029493375e-14
Acacia_consanguinea,-0.000460000069871593
Acacia_consobrina,-4.8829909608208e-06
Acacia_conspersa,6.32581938150357e-16
Acacia_constablei,3.21788256558829e-06
Acacia_continua,4.32787060222668e-07
Acacia_coolgardiensis,-1.53489566146107e-06
Acacia_coriacea,3.23380810144908e-07
Acacia_costata,4.19939413611695e-05
Acacia_courtii,0.000124192188450019
Acacia_covenyi,4.05409579665361e-08
Acacia_cowleana,-0.00012245618159923
Acacia_cracentis,7.24457232724781e-07
Acacia_craspedocarpa,-8.57864361726626e-06
Acacia_crassa,1.82570503780541e-05
Acacia_crassicarpa,-9.89213275134658e-08
Acacia_crassiuscula,1.16577523829515e-08
Acacia_cremiflora,-3.25125358852324e-07
Acacia_cultriformis,-4.03158851610102e-09
Acacia_cupularis,-2.24703947405444e-05
Acacia_curranii,1.27985975806177e-05
Acacia_curvata,-0.00229336767033122
Acacia_cuspidifolia,1.2800194599289e-06
Acacia_cuthbertsonii,7.59767263098105e-06
Acacia_cyclops,4.46192749570422e-10
Acacia_cyperophylla,-1.05157892880286e-06
Acacia_dallachiana,-5.05504443805493e-10
Acacia_dangarensis,0.0013932739215954
Acacia_dawsonii,7.90338055799038e-10
Acacia_deanei,7.83407177704345e-12
Acacia_debilis,-1.15988272088822e-10
Acacia_declinata,-5.81839899341915e-07
Acacia_decora,2.85107791341315e-07
Acacia_decurrens,2.21720742326604e-09
Acacia_delibrata,-4.75962606878084e-09
Acacia_delphina,7.44977743946684e-06
Acacia_dempsteri,1.22793461653523e-05
Acacia_densiflora,-1.38713249215026e-05
Acacia_denticulosa,-9.78065401230522e-08
