species,dropped_tips
Begonia_samhaensis,Begonia_samhaensis
Begonia_sandtii,Begonia_sandtii
Begonia_sanguinea,Begonia_sanguinea
Begonia_semiparietalis,Begonia_semiparietalis
Begonia_silletensis_subsp_mengyangensis,Begonia_silletensis_subsp_mengyangensis
Begonia_stipulacea,Begonia_stipulacea
Begonia_tandangii,Begonia_tandangii
Begonia_tayabensis,Begonia_tayabensis
Begonia_tigrina,Begonia_tigrina
Begonia_venosa,Begonia_venosa
Begonia_vuijckii,Begonia_vuijckii
Benincasa_fistulosa,Benincasa_fistulosa
Berchemia_formosana,Berchemia_formosana
Betula_austrosinensis,Betula_austrosinensis
Betula_hainanensis,Betula_hainanensis
Betula_halophila,Betula_halophila
Betula_middendorffii,Betula_middendorffii
Biancaea_decapetala,Biancaea_decapetala
Biancaea_oppositifolia,Biancaea_oppositifolia
Biancaea_parviflora,Biancaea_parviflora
Biancaea_sappan,Biancaea_sappan
Bikinia_letestui,Bikinia_letestui
Bikinia_letestui_subsp_letestui,Bikinia_letestui_subsp_letestui
Biswarea_tonglensis,Biswarea_tonglensis
Blanchetiodendron_blanchetii,Blanchetiodendron_blanchetii
Blastania_cerasiformis,Blastania_cerasiformis
Boehmeria_boninensis,Boehmeria_boninensis
Boehmeria_grandissima,Boehmeria_grandissima
Boehmeria_jamaicensis,Boehmeria_jamaicensis
Boehmeria_longispica,Boehmeria_longispica
Boehmeria_pseudotricuspis,Boehmeria_pseudotricuspis
Bolusia_acuminata,Bolusia_acuminata
Bosqueiopsis_carvalhoana,Bosqueiopsis_carvalhoana
Bossiaea_aquifolium_subsp_laidlawiana,Bossiaea_aquifolium_subsp_laidlawiana
Bossiaea_spinescens,Bossiaea_spinescens
Broussonetia_monoica,Broussonetia_monoica
Brya_hirsuta,Brya_hirsuta
Bryaspis_humularioides,Bryaspis_humularioides
Bryonia_acuta,Bryonia_acuta
Bryonia_marmorata,Bryonia_marmorata
Bryonia_melanocarpa,Bryonia_melanocarpa
Bussea_gossweileri,Bussea_gossweileri
Bussea_massaiensis,Bussea_massaiensis
Bussea_occidentalis,Bussea_occidentalis
Bussea_perrieri,Bussea_perrieri
Bussea_xylocarpa,Bussea_xylocarpa
Butea_minor,Butea_minor
Caamembeca_amazonensis,Caamembeca_amazonensis
Caamembeca_autranii,Caamembeca_autranii
Caamembeca_formosa,Caamembeca_formosa
Caamembeca_grandifolia,Caamembeca_grandifolia
Caamembeca_oleifolia,Caamembeca_oleifolia
Caamembeca_oxyphylla,Caamembeca_oxyphylla
Caamembeca_spectabilis,Caamembeca_spectabilis
Caamembeca_ulei,Caamembeca_ulei
Caesalpinia_murifructa,Caesalpinia_murifructa
Cajanus_crassus_2,Cajanus_crassus_2
Callerya_oosperma,Callerya_oosperma
Calliandropsis_nervosus,Calliandropsis_nervosus
Calobota_elongata,Calobota_elongata
Calophaca_grandiflora,Calophaca_grandiflora
Campsiandra_robclarckiana,Campsiandra_robclarckiana
Campylotropis_griffithii,Campylotropis_griffithii
Campylotropis_sargentiana,Campylotropis_sargentiana
Canavalia_gladiolata,Canavalia_gladiolata
Canavalia_plagiosperma,Canavalia_plagiosperma
Canavalia_vitiensis,Canavalia_vitiensis
Canavalia_wurdackii,Canavalia_wurdackii
Cannabis_sativa_subsp_indica,Cannabis_sativa_subsp_indica
Caragana_decorticans,Caragana_decorticans
Caragana_franchetiana_var_crassispina,Caragana_franchetiana_var_crassispina
Caragana_gobica,Caragana_gobica
Caragana_kirghisorum,Caragana_kirghisorum
Caragana_polourensis,Caragana_polourensis
Caragana_potaninii,Caragana_potaninii
Caragana_qingheensis,Caragana_qingheensis
Caragana_turkestanica,Caragana_turkestanica
Cardiogyne_africana,Cardiogyne_africana
Carmichaelia_juncea,Carmichaelia_juncea
Carpinus_caroliniana_subsp_virginiana,Carpinus_caroliniana_subsp_virginiana
Carpinus_coreana,Carpinus_coreana
Carpinus_hupeana,Carpinus_hupeana
Carpinus_langaoensis,Carpinus_langaoensis
Carpinus_orientalis_subsp_orientalis,Carpinus_orientalis_subsp_orientalis
Carpolobia_conradsiana,Carpolobia_conradsiana
Cascaronia_astragalina,Cascaronia_astragalina
Castanopsis_longzhouica,Castanopsis_longzhouica
Casuarina_equisetifolia_subsp_equisetifolia,Casuarina_equisetifolia_subsp_equisetifolia
Cayaponia_laciniosa,Cayaponia_laciniosa
Cayaponia_prunifera,Cayaponia_prunifera
Ceanothus_divergens_subsp_confusus,Ceanothus_divergens_subsp_confusus
Ceanothus_divergens_subsp_occidentalis,Ceanothus_divergens_subsp_occidentalis
Celtis_australis_subsp_australis,Celtis_australis_subsp_australis
Celtis_fluminensis,Celtis_fluminensis
Celtis_formosana,Celtis_formosana
Celtis_kunmingensis,Celtis_kunmingensis
Cercis_gigantea,Cercis_gigantea
Cercocarpus_douglasii,Cercocarpus_douglasii
Chaetachme_microcarpa,Chaetachme_microcarpa
Chalema_synanthera,Chalema_synanthera
Chamaecallis_perpusilloides,Chamaecallis_perpusilloides
Chamaecrista_gononclada,Chamaecrista_gononclada
Chamaecrista_kleinii,Chamaecrista_kleinii
Chamaecrista_nictitans_subsp_brachypoda,Chamaecrista_nictitans_subsp_brachypoda
Chamaecrista_wallichiana,Chamaecrista_wallichiana
Chamaecytisus_prolifer_subsp_angustifolius,Chamaecytisus_prolifer_subsp_angustifolius
Chamaemespilus_alpina,Chamaemespilus_alpina
Chamaerhodos_mongholica,Chamaerhodos_mongholica
Chaydaia_rubrinervis,Chaydaia_rubrinervis
Chesneya_borissovae,Chesneya_borissovae
Chesneya_botschantzevii,Chesneya_botschantzevii
Chesneya_dshungarica,Chesneya_dshungarica
Chesneya_elegans,Chesneya_elegans
Chesneya_kopetdaghensis,Chesneya_kopetdaghensis
Chesneya_kschtutica,Chesneya_kschtutica
Chesneya_linczevskyi,Chesneya_linczevskyi
Chesneya_neplii,Chesneya_neplii
Chesneya_tadzhikistana,Chesneya_tadzhikistana
Chesneya_tribuloides,Chesneya_tribuloides
Chesneya_villosa,Chesneya_villosa
Christia_convallaria,Christia_convallaria
Cicer_pungens_2,Cicer_pungens_2
Cicer_tragacanthoides_2,Cicer_tragacanthoides_2
Citrullus_amarus,Citrullus_amarus
Citrullus_caffer,Citrullus_caffer
Citrullus_mucosospermus,Citrullus_mucosospermus
Citrullus_naudinianus,Citrullus_naudinianus
Cliffortia_acanthophylla,Cliffortia_acanthophylla
Cliffortia_nitidula_subsp_pilosa,Cliffortia_nitidula_subsp_pilosa
Coccinia_grandiflora,Coccinia_grandiflora
Coelidium_fourcadei,Coelidium_fourcadei
Colubrina_javanica,Colubrina_javanica
Coluria_elegans,Coluria_elegans
Colutea_gifana,Colutea_gifana
Colutea_komarovii,Colutea_komarovii
Colvillea_racemosa,Colvillea_racemosa
Comesperma_esulifolium,Comesperma_esulifolium
Comesperma_hispidulum,Comesperma_hispidulum
Cordeauxia_edulis,Cordeauxia_edulis
Coriaria_microphylla,Coriaria_microphylla
Corylus_maxima,Corylus_maxima
Cotoneaster_armenus,Cotoneaster_armenus
Cotoneaster_assamensis,Cotoneaster_assamensis
Cotoneaster_atropurpureus,Cotoneaster_atropurpureus
Cotoneaster_buxifolius,Cotoneaster_buxifolius
Cotoneaster_giraldii,Cotoneaster_giraldii
Cotoneaster_hjelmqvistii,Cotoneaster_hjelmqvistii
Cotoneaster_monopyrenus,Cotoneaster_monopyrenus
Cotoneaster_perpusillus,Cotoneaster_perpusillus
Cotoneaster_poluninii,Cotoneaster_poluninii
Cotoneaster_przewalskii,Cotoneaster_przewalskii
Cotoneaster_qungbixiensis,Cotoneaster_qungbixiensis
Cotoneaster_silvestrii,Cotoneaster_silvestrii
Cotoneaster_soongoricus,Cotoneaster_soongoricus
Cotoneaster_symondsii,Cotoneaster_symondsii
Coulteria_cubensis,Coulteria_cubensis
Coulteria_mollis,Coulteria_mollis
Coulteria_platyloba,Coulteria_platyloba
Coulteria_pumila,Coulteria_pumila
Coulteria_velutina,Coulteria_velutina
Crataegus_albanica,Crataegus_albanica
Crataegus_atrofusca,Crataegus_atrofusca
Crataegus_babakhanloui,Crataegus_babakhanloui
Crataegus_bona,Crataegus_bona
Crataegus_brazoria,Crataegus_brazoria
Crataegus_canadensis,Crataegus_canadensis
Crataegus_grignonensis,Crataegus_grignonensis
Crataegus_hissarica,Crataegus_hissarica
Crataegus_integriloba,Crataegus_integriloba
Crataegus_kyrtostyla,Crataegus_kyrtostyla
Crataegus_lumaria,Crataegus_lumaria
Crataegus_nitidula,Crataegus_nitidula
Crataegus_perjucunda,Crataegus_perjucunda
Crataegus_porrecta,Crataegus_porrecta
Crataegus_pseudoheterophylla,Crataegus_pseudoheterophylla
Crataegus_pubescens,Crataegus_pubescens
Crataegus_russanovii,Crataegus_russanovii
Crataegus_stenosepala,Crataegus_stenosepala
Crataegus_stolonifera,Crataegus_stolonifera
Crataegus_suksdorfii,Crataegus_suksdorfii
Crataegus_uvaldensis,Crataegus_uvaldensis
Crataegus_vulsa,Crataegus_vulsa
Crataegus_warneri,Crataegus_warneri
Crataegus_williamsii,Crataegus_williamsii
Cremastopus_minimus,Cremastopus_minimus
Crotalaria_agatiflora_subsp_imperialis,Crotalaria_agatiflora_subsp_imperialis
Crotalaria_barbata,Crotalaria_barbata
Crotalaria_benadirensis,Crotalaria_benadirensis
Crotalaria_bhutanica,Crotalaria_bhutanica
Crotalaria_brevicornuta,Crotalaria_brevicornuta
Crotalaria_carsonii,Crotalaria_carsonii
Crotalaria_colorata_subsp_erecta,Crotalaria_colorata_subsp_erecta
Crotalaria_havanensis,Crotalaria_havanensis
Crotalaria_incana_subsp_purpurascens,Crotalaria_incana_subsp_purpurascens
Crotalaria_laburnifolia_subsp_australis,Crotalaria_laburnifolia_subsp_australis
Crotalaria_laburnifolia_subsp_laburnifolia,Crotalaria_laburnifolia_subsp_laburnifolia
Crotalaria_laburnifolia_subsp_petiolaris,Crotalaria_laburnifolia_subsp_petiolaris
Crotalaria_lanceolata_subsp_lanceolata,Crotalaria_lanceolata_subsp_lanceolata
Crotalaria_lepidissima,Crotalaria_lepidissima
Crotalaria_linearifoliolata_2,Crotalaria_linearifoliolata_2
Crotalaria_lutescens,Crotalaria_lutescens
Crotalaria_macrocalyx_2,Crotalaria_macrocalyx_2
Crotalaria_massaiensis_2,Crotalaria_massaiensis_2
Crotalaria_mildbraedii_2,Crotalaria_mildbraedii_2
Crotalaria_muenzneri_2,Crotalaria_muenzneri_2
Crotalaria_nudiflora,Crotalaria_nudiflora
Crotalaria_oocarpa_2,Crotalaria_oocarpa_2
Crotalaria_oocarpa_subsp_oocarpa,Crotalaria_oocarpa_subsp_oocarpa
Crotalaria_pallidicaulis_2,Crotalaria_pallidicaulis_2
Crotalaria_parvula_2,Crotalaria_parvula_2
Crotalaria_passerinoides_2,Crotalaria_passerinoides_2
Crotalaria_sandoorensis,Crotalaria_sandoorensis
Crotalaria_speciosa,Crotalaria_speciosa
Crotalaria_sphaerocarpa_2,Crotalaria_sphaerocarpa_2
Crotalaria_subtilis,Crotalaria_subtilis
Crotalaria_uliginosa,Crotalaria_uliginosa
Crotalaria_virgultaris,Crotalaria_virgultaris
Crumenaria_polygaloides,Crumenaria_polygaloides
Cucumeropsis_mannii,Cucumeropsis_mannii
Cucumis_asper,Cucumis_asper
Cucumis_clavipetiolatus,Cucumis_clavipetiolatus
Cucumis_heptadactylis,Cucumis_heptadactylis
Cucumis_humofructus,Cucumis_humofructus
Cucumis_maderaspatanus,Cucumis_maderaspatanus
Cucumis_omissus,Cucumis_omissus
Cucumis_oreosyce,Cucumis_oreosyce
Cucumis_pubescens,Cucumis_pubescens
Cucumis_rostratus,Cucumis_rostratus
Cucumis_setosus,Cucumis_setosus
Cucumis_subsericeus,Cucumis_subsericeus
Cucumis_trigonus,Cucumis_trigonus
Cucumis_zeyherii,Cucumis_zeyherii
Cucurbita_argyrosperma_subsp_argyrosperma,Cucurbita_argyrosperma_subsp_argyrosperma
Cucurbita_argyrosperma_subsp_sororia,Cucurbita_argyrosperma_subsp_sororia
Cucurbita_okeechobeensis_subsp_martinezii,Cucurbita_okeechobeensis_subsp_martinezii
Cucurbita_pepo_subsp_fraterna,Cucurbita_pepo_subsp_fraterna
Cucurbita_pepo_subsp_ovifera,Cucurbita_pepo_subsp_ovifera
Cucurbita_pepo_subsp_pepo,Cucurbita_pepo_subsp_pepo
Cudrania_tricuspidata,Cudrania_tricuspidata
Cyclanthera_carthagenensis,Cyclanthera_carthagenensis
Cyclanthera_tonduzii,Cyclanthera_tonduzii
Cypholophus_heterophyllus,Cypholophus_heterophyllus
Cytisus_arboreus_subsp_baeticus,Cytisus_arboreus_subsp_baeticus
Cytisus_arboreus_subsp_catalaunicus,Cytisus_arboreus_subsp_catalaunicus
Cytisus_dieckii,Cytisus_dieckii
Cytisus_fontanesii_subsp_plumosus,Cytisus_fontanesii_subsp_plumosus
Cytisus_grandiflorus_subsp_haplophyllus,Cytisus_grandiflorus_subsp_haplophyllus
Cytisus_orientalis,Cytisus_orientalis
Cytisus_scoparius_subsp_reverchonii,Cytisus_scoparius_subsp_reverchonii
Cytisus_scoparius_subsp_scoparius,Cytisus_scoparius_subsp_scoparius
Cytisus_striatus_subsp_striatus,Cytisus_striatus_subsp_striatus
Dactyliandra_nigrescens,Dactyliandra_nigrescens
Dahlstedtia_glaziovii,Dahlstedtia_glaziovii
Dalbergia_dialoides,Dalbergia_dialoides
Dalbergia_sissoides,Dalbergia_sissoides
Dalbergiella_nyasae,Dalbergiella_nyasae
Dallachya_vitiensis,Dallachya_vitiensis
Dasiphora_fruticosa_subsp_floribunda,Dasiphora_fruticosa_subsp_floribunda
Dasiphora_glabra,Dasiphora_glabra
Daviesia_aphylla,Daviesia_aphylla
Daviesia_asperula_subsp_obliqua,Daviesia_asperula_subsp_obliqua
Daviesia_benthamii_subsp_benthamii,Daviesia_benthamii_subsp_benthamii
Daviesia_divaricata_subsp_divaricata,Daviesia_divaricata_subsp_divaricata
Daviesia_implexa,Daviesia_implexa
Daviesia_localis,Daviesia_localis
Daviesia_ulicifolia_subsp_pilligensis,Daviesia_ulicifolia_subsp_pilligensis
Daviesia_ulicifolia_subsp_ulicifolia,Daviesia_ulicifolia_subsp_ulicifolia
Debregeasia_dichotoma,Debregeasia_dichotoma
Debregeasia_salicifolia,Debregeasia_salicifolia
Dendrocnide_moroidea,Dendrocnide_moroidea
Dendrosicyos_socotranus,Dendrosicyos_socotranus
Denisophytum_buchii,Denisophytum_buchii
Denisophytum_pauciflorum,Denisophytum_pauciflorum
Denisophytum_sessilifolium,Denisophytum_sessilifolium
Denisophytum_stuckertii,Denisophytum_stuckertii
Dermatophyllum_gypsophilum,Dermatophyllum_gypsophilum
Derris_glabra,Derris_glabra
Derris_hainesiana,Derris_hainesiana
Derris_ovalifolia,Derris_ovalifolia
Derris_scandens,Derris_scandens
Derris_tinghuensis,Derris_tinghuensis
Desmodium_hirsutum,Desmodium_hirsutum
Desmodium_seatonii,Desmodium_seatonii
Dichrostachys_bernieriana,Dichrostachys_bernieriana
Dichrostachys_cinerea_subsp_africana,Dichrostachys_cinerea_subsp_africana
Dichrostachys_cinerea_subsp_nyassana,Dichrostachys_cinerea_subsp_nyassana
Dichrostachys_myriophylla,Dichrostachys_myriophylla
Dichrostachys_pervilleana,Dichrostachys_pervilleana
Dimorphandra_macrostachya_subsp_glabrifolia,Dimorphandra_macrostachya_subsp_glabrifolia
Diphyllarium_mekongense,Diphyllarium_mekongense
Diptychandra_aurantiaca,Diptychandra_aurantiaca
Docyniopsis_tschonoskii,Docyniopsis_tschonoskii
Dorstenia_cayapia_subsp_asaroides,Dorstenia_cayapia_subsp_asaroides
Dorstenia_cayapia_subsp_vitifolia,Dorstenia_cayapia_subsp_vitifolia
Dorstenia_roigii,Dorstenia_roigii
Dorycnium_pentaphyllum_subsp_germanicum,Dorycnium_pentaphyllum_subsp_germanicum
Droguetia_iners_subsp_urticoides,Droguetia_iners_subsp_urticoides
Droogmansia_montana,Droogmansia_montana
Dryas_ajanensis,Dryas_ajanensis
Dryas_alaskensis,Dryas_alaskensis
Dryas_crenulata,Dryas_crenulata
Dryas_punctata,Dryas_punctata
Drymocallis_glutinosa,Drymocallis_glutinosa
Ebenus_armitagei,Ebenus_armitagei
Ebenus_longipes,Ebenus_longipes
Ecballium_elaterium_subsp_dioicum,Ecballium_elaterium_subsp_dioicum
Ecballium_elaterium_subsp_elaterium,Ecballium_elaterium_subsp_elaterium
Echinopepon_bigelovii,Echinopepon_bigelovii
Echinopepon_milliflorus,Echinopepon_milliflorus
Echinopepon_paniculatus,Echinopepon_paniculatus
Edgaria_darjeelingensis,Edgaria_darjeelingensis
Elaeagnus_glabra_subsp_oxyphylla,Elaeagnus_glabra_subsp_oxyphylla
Elaeagnus_indica,Elaeagnus_indica
Elaeagnus_loureirii,Elaeagnus_loureirii
Elatostema_asterocephalum,Elatostema_asterocephalum
Elatostema_backeri,Elatostema_backeri
Elatostema_binatum,Elatostema_binatum
Elatostema_calcareum,Elatostema_calcareum
Elatostema_curtisii,Elatostema_curtisii
Elatostema_densistriolatum,Elatostema_densistriolatum
Elatostema_edule,Elatostema_edule
Elatostema_fengshanense,Elatostema_fengshanense
Elatostema_gracilipes,Elatostema_gracilipes
Elatostema_gyrocephalum,Elatostema_gyrocephalum
Elatostema_hechiense,Elatostema_hechiense
Elatostema_huanjiangense,Elatostema_huanjiangense
Elatostema_hybrid_cultivar,Elatostema_hybrid_cultivar
Elatostema_japonicum,Elatostema_japonicum
Elatostema_lonchophyllum,Elatostema_lonchophyllum
Elatostema_longipes,Elatostema_longipes
Elatostema_lutescens,Elatostema_lutescens
Elatostema_nigrescens,Elatostema_nigrescens
Elatostema_oligophlebium,Elatostema_oligophlebium
Elatostema_palustre,Elatostema_palustre
Elatostema_parasiticum,Elatostema_parasiticum
Elatostema_pedunculosum,Elatostema_pedunculosum
Elatostema_phanerophlebium,Elatostema_phanerophlebium
Elatostema_platyphylloides,Elatostema_platyphylloides
Elatostema_purpureum,Elatostema_purpureum
Elatostema_raapii,Elatostema_raapii
Elatostema_strigillosum,Elatostema_strigillosum
Elatostema_tianeense,Elatostema_tianeense
Elatostema_trilobulatum,Elatostema_trilobulatum
Elatostema_yakushimense,Elatostema_yakushimense
Elephantorrhiza_burkii,Elephantorrhiza_burkii
Engelhardia_fenzelii,Engelhardia_fenzelii
Englerodendron_gabunense_2,Englerodendron_gabunense_2
Entada_reticulata,Entada_reticulata
Entada_tonkinensis,Entada_tonkinensis
Erinacea_anthyllis,Erinacea_anthyllis
Eriobotrya_dayaoshanensis,Eriobotrya_dayaoshanensis
Eriobotrya_hookeriana,Eriobotrya_hookeriana
Eriosema_adamaouense,Eriosema_adamaouense
Erophaca_baetica_subsp_baetica,Erophaca_baetica_subsp_baetica
Erophaca_baetica_subsp_orientalis,Erophaca_baetica_subsp_orientalis
Erythrostemon_argentinus,Erythrostemon_argentinus
Erythrostemon_caladenia,Erythrostemon_caladenia
Erythrostemon_calycinum,Erythrostemon_calycinum
Erythrostemon_calycinus,Erythrostemon_calycinus
Erythrostemon_caudatus,Erythrostemon_caudatus
Erythrostemon_coccineus,Erythrostemon_coccineus
Erythrostemon_coulterioides,Erythrostemon_coulterioides
Erythrostemon_exilifolius,Erythrostemon_exilifolius
Erythrostemon_exostemma,Erythrostemon_exostemma
Erythrostemon_fimbriatus,Erythrostemon_fimbriatus
Erythrostemon_gilliesii,Erythrostemon_gilliesii
Erythrostemon_glandulosus,Erythrostemon_glandulosus
Erythrostemon_hintonii,Erythrostemon_hintonii
Erythrostemon_hughesii,Erythrostemon_hughesii
Erythrostemon_melanadenius,Erythrostemon_melanadenius
Erythrostemon_mexicanus,Erythrostemon_mexicanus
Erythrostemon_nelsonii,Erythrostemon_nelsonii
Erythrostemon_nicaraguensis,Erythrostemon_nicaraguensis
Erythrostemon_palmeri,Erythrostemon_palmeri
Erythrostemon_pannosus,Erythrostemon_pannosus
Erythrostemon_placidus,Erythrostemon_placidus
Erythrostemon_standleyi,Erythrostemon_standleyi
Euchlora_hirsuta,Euchlora_hirsuta
Exochorda_giraldii,Exochorda_giraldii
Exochorda_macrantha,Exochorda_macrantha
Exochorda_serratifolia,Exochorda_serratifolia
Feuilleea_boivini,Feuilleea_boivini
Feuilleea_schimperiana,Feuilleea_schimperiana
Ficus_andamanica,Ficus_andamanica
Ficus_beipeiensis,Ficus_beipeiensis
Ficus_buxifolia,Ficus_buxifolia
Ficus_chiapensis,Ficus_chiapensis
Ficus_crassivenosa,Ficus_crassivenosa
Ficus_daimingshanensis,Ficus_daimingshanensis
Ficus_dalhousiae,Ficus_dalhousiae
Ficus_fulvopilosa,Ficus_fulvopilosa
Ficus_henneana,Ficus_henneana
Ficus_hispidioides,Ficus_hispidioides
Ficus_iidaiana,Ficus_iidaiana
Ficus_iidana,Ficus_iidana
Ficus_irisana,Ficus_irisana
Ficus_kiloneura,Ficus_kiloneura
Ficus_krugiana,Ficus_krugiana
Ficus_lecardii,Ficus_lecardii
Ficus_leucotricha,Ficus_leucotricha
Ficus_morazaniana,Ficus_morazaniana
Ficus_nevesiae,Ficus_nevesiae
Ficus_nishimurae,Ficus_nishimurae
Ficus_ovalis,Ficus_ovalis
Ficus_periptera,Ficus_periptera
Ficus_petersii,Ficus_petersii
Ficus_potingensis,Ficus_potingensis
Ficus_repens,Ficus_repens
Ficus_rokko,Ficus_rokko
Ficus_ruginerva,Ficus_ruginerva
Ficus_santanderana,Ficus_santanderana
Ficus_segoviae,Ficus_segoviae
Ficus_sintenisii,Ficus_sintenisii
Ficus_sterrocarpa,Ficus_sterrocarpa
Ficus_stipulifera,Ficus_stipulifera
Ficus_torresiana,Ficus_torresiana
Ficus_usambarensis,Ficus_usambarensis
Ficus_wightiana,Ficus_wightiana
Fiebrigiella_gracilis,Fiebrigiella_gracilis
Filipendula_tsuguwoi,Filipendula_tsuguwoi
Filipendula_yezoensis,Filipendula_yezoensis
Fillaeopsis_discophora,Fillaeopsis_discophora
Flemingia_ferruginea,Flemingia_ferruginea
Fordia_lanceolata,Fordia_lanceolata
Fragaria_ananassa,Fragaria_ananassa
Fragaria_bucharica,Fragaria_bucharica
Fragaria_chiloensis_subsp_lucida,Fragaria_chiloensis_subsp_lucida
Fragaria_chinensis,Fragaria_chinensis
Fragaria_corymbosa,Fragaria_corymbosa
Fragaria_iturupensis,Fragaria_iturupensis
Fragaria_vesca_f._alba,Fragaria_vesca_f._alba
Fragaria_vesca_subsp_americana,Fragaria_vesca_subsp_americana
Fragaria_vesca_subsp_vesca,Fragaria_vesca_subsp_vesca
Fragaria_virginiana_subsp_glauca,Fragaria_virginiana_subsp_glauca
Fragaria_virginiana_subsp_virginiana,Fragaria_virginiana_subsp_virginiana
Frangula_longipes,Frangula_longipes
Frangula_polymorpha,Frangula_polymorpha
Frangula_rubra_subsp_obtusissima,Frangula_rubra_subsp_obtusissima
Frantzia_panamensis,Frantzia_panamensis
Frantzia_pittieri,Frantzia_pittieri
Frantzia_tacaco,Frantzia_tacaco
Frantzia_talamancensis,Frantzia_talamancensis
Frantzia_villosa,Frantzia_villosa
Gagnebina_calcicola,Gagnebina_calcicola
Galactia_australis,Galactia_australis
Galactia_monophylla,Galactia_monophylla
Galactia_sangsterae,Galactia_sangsterae
Gastrolobium_sericeum,Gastrolobium_sericeum
Gastrolobium_truncatum,Gastrolobium_truncatum
Gelrebia_trothae,Gelrebia_trothae
Genista_ausetana,Genista_ausetana
Genista_cilentina,Genista_cilentina
Genista_cinerea_subsp_cinerea,Genista_cinerea_subsp_cinerea
Genista_florida_subsp_florida,Genista_florida_subsp_florida
Genista_florida_subsp_maroccana,Genista_florida_subsp_maroccana
Genista_florida_subsp_polygaliphylla,Genista_florida_subsp_polygaliphylla
Genista_hirsuta_subsp_hirsuta,Genista_hirsuta_subsp_hirsuta
Genista_hispanica_subsp_hispanica,Genista_hispanica_subsp_hispanica
Genista_hystrix_subsp_hystrix,Genista_hystrix_subsp_hystrix
Genista_hystrix_subsp_legionensis,Genista_hystrix_subsp_legionensis
Genista_mugronensis_subsp_rigidissima,Genista_mugronensis_subsp_rigidissima
Genista_numidica_subsp_filiramea,Genista_numidica_subsp_filiramea
Genista_numidica_subsp_numidica,Genista_numidica_subsp_numidica
Genista_pulchella_subsp_villarsiana,Genista_pulchella_subsp_villarsiana
Genista_pumila_subsp_pumila,Genista_pumila_subsp_pumila
Genista_sylvestris_subsp_dalmatica,Genista_sylvestris_subsp_dalmatica
Genista_sylvestris_subsp_innocua,Genista_sylvestris_subsp_innocua
Genista_thyrrena_subsp_pontiana,Genista_thyrrena_subsp_pontiana
Genista_tournefortii_subsp_tournefortii,Genista_tournefortii_subsp_tournefortii
Genista_triacanthos_subsp_triacanthos,Genista_triacanthos_subsp_triacanthos
Genista_tridens_subsp_tridens,Genista_tridens_subsp_tridens
Genista_tridentata_subsp_lasiantha,Genista_tridentata_subsp_lasiantha
Genista_umbellata_subsp_equisetiformis,Genista_umbellata_subsp_equisetiformis
Genista_umbellata_subsp_umbellata,Genista_umbellata_subsp_umbellata
Genistidium_dumosum,Genistidium_dumosum
Gibbsia_insignis,Gibbsia_insignis
Gigasiphon_amplum,Gigasiphon_amplum
Gigasiphon_schlechteri,Gigasiphon_schlechteri
Gilbertiodendron_maximum,Gilbertiodendron_maximum
Girardinia_diversifolia_subsp_diversifolia,Girardinia_diversifolia_subsp_diversifolia
Girardinia_diversifolia_subsp_suborbiculata,Girardinia_diversifolia_subsp_suborbiculata
Girardinia_diversifolia_subsp_triloba,Girardinia_diversifolia_subsp_triloba
Glycyrrhiza_bucharica,Glycyrrhiza_bucharica
Glycyrrhiza_foetidissima,Glycyrrhiza_foetidissima
Gonostegia_hirta,Gonostegia_hirta
Gonostegia_parvifolia,Gonostegia_parvifolia
Gonostegia_pentandra,Gonostegia_pentandra
Goodia_lotifolia,Goodia_lotifolia
Goodia_medicaginea,Goodia_medicaginea
Gouania_gagnei,Gouania_gagnei
Guilandina_bonduc,Guilandina_bonduc
Guilandina_ciliata,Guilandina_ciliata
Guilandina_intermedia,Guilandina_intermedia
Guilandina_major,Guilandina_major
Guilandina_sphaerosperma,Guilandina_sphaerosperma
Gurania_pittieri,Gurania_pittieri
Gymnopetalum_integrifolium,Gymnopetalum_integrifolium
Gymnopetalum_orientale,Gymnopetalum_orientale
Gymnopetalum_scabrum,Gymnopetalum_scabrum
Gymnopetalum_tubiflorum,Gymnopetalum_tubiflorum
Gynostemma_compressum,Gynostemma_compressum
Gynostemma_pentagynum,Gynostemma_pentagynum
Hagenia_abyssinica,Hagenia_abyssinica
Hammatolobium_lotoides,Hammatolobium_lotoides
Hanburia_oerstedii,Hanburia_oerstedii
Haroldiella_rapaensis,Haroldiella_rapaensis
Hedysarum_astragaloides,Hedysarum_astragaloides
Hedysarum_boveanum_subsp_boveanum,Hedysarum_boveanum_subsp_boveanum
Hedysarum_boveanum_subsp_europaeum,Hedysarum_boveanum_subsp_europaeum
Hedysarum_chaiyrakanicum,Hedysarum_chaiyrakanicum
Hedysarum_dentatoalatum,Hedysarum_dentatoalatum
Hedysarum_halophilum,Hedysarum_halophilum
Hedysarum_hedysaroides_subsp_arcticum,Hedysarum_hedysaroides_subsp_arcticum
Hedysarum_iomuticum,Hedysarum_iomuticum
Hedysarum_kopetdaghi,Hedysarum_kopetdaghi
Hedysarum_marandense,Hedysarum_marandense
Hedysarum_monophyllum,Hedysarum_monophyllum
Hedysarum_nuratense,Hedysarum_nuratense
Hedysarum_poncinsii,Hedysarum_poncinsii
Hedysarum_taipeicum,Hedysarum_taipeicum
Hedysarum_truncatum,Hedysarum_truncatum
Hedysarum_varium_subsp_syriacum,Hedysarum_varium_subsp_syriacum
