Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily
Gouania,No,n/a,No,Non-legume
Granitites,No,n/a,No,Non-legume
Guilfoylia,No,n/a,No,Non-legume
Gurania,No,n/a,No,Non-legume
Guraniopsis,No,n/a,No,Non-legume
Gymnopetalum,No,n/a,No,Non-legume
Gymnostoma,Yes,Actinorhizal,No,Non-legume
Gynostemma,No,n/a,No,Non-legume
Gyrotaenia,No,n/a,No,Non-legume
Halosicyos,No,n/a,No,Non-legume
Hanburia,No,n/a,No,Non-legume
Haroldiella,No,n/a,No,Non-legume
Hebecarpa,No,n/a,No,Non-legume
Helianthostylis,No,n/a,No,Non-legume
Helicostylis,No,n/a,No,Non-legume
Helinus,No,n/a,No,Non-legume
Helmontia,No,n/a,No,Non-legume
Hemiptelea,No,n/a,No,Non-legume
Hemistylus,No,n/a,No,Non-legume
Hemsleya,No,n/a,No,Non-legume
Herpetospermum,No,n/a,No,Non-legume
Hesperhodos,No,n/a,No,Non-legume
Hesperocnide,No,n/a,No,Non-legume
Hesperomeles,No,n/a,No,Non-legume
Heteromeles,No,n/a,No,Non-legume
Heterosamara,No,n/a,No,Non-legume
Hicoria,No,n/a,No,Non-legume
Hicorius,No,n/a,No,Non-legume
Hillebrandia,No,n/a,No,Non-legume
Hippophae,Yes,Actinorhizal,No,Non-legume
Hodgsonia,No,n/a,No,Non-legume
Holodiscus,No,n/a,No,Non-legume
Holoptelea,No,n/a,No,Non-legume
Horkelia,No,n/a,No,Non-legume
Horkeliella,No,n/a,No,Non-legume
Hovenia,No,n/a,No,Non-legume
Hullettia,No,n/a,No,Non-legume
Humulus,No,n/a,No,Non-legume
Hymenosicyos,No,n/a,No,Non-legume
Ibervillea,No,n/a,No,Non-legume
Indofevillea,No,n/a,No,Non-legume
Ivesia,No,n/a,No,Non-legume
Johnstonalia,No,n/a,No,Non-legume
Juglans,No,n/a,No,Non-legume
Kageneckia,No,n/a,No,Non-legume
Karwinskia,No,n/a,No,Non-legume
Kedrostis,No,n/a,No,Non-legume
Kelseya,No,n/a,No,Non-legume
Kentrothamnus,Yes,Actinorhizal,No,Non-legume
Kerria,No,n/a,No,Non-legume
Krugiodendron,No,n/a,No,Non-legume
Lagenaria,No,n/a,No,Non-legume
Laportea,No,n/a,No,Non-legume
Lasiodiscus,No,n/a,No,Non-legume
Lecanthus,No,n/a,No,Non-legume
Lemurosicyos,No,n/a,No,Non-legume
Lepargyrea,No,n/a,No,Non-legume
Leucosidea,No,n/a,No,Non-legume
Leucosyke,No,n/a,No,Non-legume
Lindleya,No,n/a,No,Non-legume
Linnaeosicyos,No,n/a,No,Non-legume
Lithocarpus,No,n/a,No,Non-legume
Lozanella,No,n/a,No,Non-legume
Luetkea,No,n/a,No,Non-legume
Luffa,No,n/a,No,Non-legume
Lyonothamnus,No,n/a,No,Non-legume
Maclura,No,n/a,No,Non-legume
Maddenia,No,n/a,No,Non-legume
Maesopsis,No,n/a,No,Non-legume
Malacomeles,No,n/a,No,Non-legume
Malaisia,No,n/a,No,Non-legume
Malus,No,n/a,No,Non-legume
Maoutia,No,n/a,No,Non-legume
Maquira,No,n/a,No,Non-legume
Marah,No,n/a,No,Non-legume
Margyricarpus,No,n/a,No,Non-legume
Megarrhiza,No,n/a,No,Non-legume
Melancium,No,n/a,No,Non-legume
Melothria,No,n/a,No,Non-legume
Mesogyne,No,n/a,No,Non-legume
Mespilus,No,n/a,No,Non-legume
Metatrophis,No,n/a,No,Non-legume
Micrampelis,No,n/a,No,Non-legume
Microlagenaria,No,n/a,No,Non-legume
Microsechium,No,n/a,No,Non-legume
Milicia,No,n/a,No,Non-legume
Momordica,No,n/a,No,Non-legume
Monnina,No,n/a,No,Non-legume
Morella,Yes,Actinorhizal,No,Non-legume
Morus,No,n/a,No,Non-legume
Moutabea,No,n/a,No,Non-legume
Muellerargia,No,n/a,No,Non-legume
Mukia,No,n/a,No,Non-legume
Muraltia,No,n/a,No,Non-legume
Musanga,No,n/a,No,Non-legume
Myrianthus,No,n/a,No,Non-legume
Myrica,Yes,Actinorhizal,No,Non-legume
Myriocarpa,No,n/a,No,Non-legume
Nanocnide,No,n/a,No,Non-legume
Naucleopsis,No,n/a,No,Non-legume
Neillia,No,n/a,No,Non-legume
Neoachmandra,No,n/a,No,Non-legume
Neoalsomitra,No,n/a,No,Non-legume
Neodistemon,No,n/a,No,Non-legume
Neraudia,No,n/a,No,Non-legume
Nesiota,No,n/a,No,Non-legume
Noltea,No,n/a,No,Non-legume
Nothocnide,No,n/a,No,Non-legume
Nothofagus,No,n/a,No,Non-legume
Notholithocarpus,No,n/a,No,Non-legume
Nuttallia,No,n/a,No,Non-legume
Nylandtia,No,n/a,No,Non-legume
Obetia,No,n/a,No,Non-legume
Ochetophila,No,n/a,No,Non-legume
Octomeles,No,n/a,No,Non-legume
Odosicyos,No,n/a,No,Non-legume
Oemleria,No,n/a,No,Non-legume
Oreocnide,No,n/a,No,Non-legume
Oreomunnea,No,n/a,No,Non-legume
Oreosyce,No,n/a,No,Non-legume
Orthurus,No,n/a,No,Non-legume
Osteomeles,No,n/a,No,Non-legume
Ostrya,No,n/a,No,Non-legume
Ostryopsis,No,n/a,No,Non-legume
Paliurus,No,n/a,No,Non-legume
Parasicyos,No,n/a,No,Non-legume
Parasponia,Yes,Rhizobial,No,Non-legume
Parietaria,No,n/a,No,Non-legume
Pellionia,No,n/a,No,Non-legume
Pentactina,No,n/a,No,Non-legume
Pentaphylloides,No,n/a,No,Non-legume
Pentaphyllum,No,n/a,No,Non-legume
Pepo,No,n/a,No,Non-legume
Peponium,No,n/a,No,Non-legume
Peponopsis,No,n/a,No,Non-legume
Peraphyllum,No,n/a,No,Non-legume
Perebea,No,n/a,No,Non-legume
Petelotiella,No,n/a,No,Non-legume
Petrophytum,No,n/a,No,Non-legume
Phenax,No,n/a,No,Non-legume
Photinia,No,n/a,No,Non-legume
Phylica,No,n/a,No,Non-legume
Phyllostylon,No,n/a,No,Non-legume
Physocarpus,No,n/a,No,Non-legume
Pilea,No,n/a,No,Non-legume
Pilogyne,No,n/a,No,Non-legume
Pilostaxis,No,n/a,No,Non-legume
Pilostyles,No,n/a,No,Non-legume
Pipturus,No,n/a,No,Non-legume
Planera,No,n/a,No,Non-legume
Platycarya,No,n/a,No,Non-legume
Poga,No,n/a,No,Non-legume
Poikilospermum,No,n/a,No,Non-legume
Polyclathra,No,n/a,No,Non-legume
Polygala,No,n/a,No,Non-legume
Polygaloides,No,n/a,No,Non-legume
Polygonanthus,No,n/a,No,Non-legume
Polylepis,No,n/a,No,Non-legume
Pomaderris,No,n/a,No,Non-legume
Potentilla,No,n/a,No,Non-legume
Poulsenia,No,n/a,No,Non-legume
Pourouma,No,n/a,No,Non-legume
Pouzolzia,No,n/a,No,Non-legume
Praecitrullus,No,n/a,No,Non-legume
Prinsepia,No,n/a,No,Non-legume
Procris,No,n/a,No,Non-legume
Prunus,No,n/a,No,Non-legume
Pseudocyclanthera,No,n/a,No,Non-legume
Pseudolmedia,No,n/a,No,Non-legume
Pseudomorus,No,n/a,No,Non-legume
Pseudosicydium,No,n/a,No,Non-legume
Psiguria,No,n/a,No,Non-legume
Pterocarya,No,n/a,No,Non-legume
Pteroceltis,No,n/a,No,Non-legume
Pteromonnina,No,n/a,No,Non-legume
Pteropepon,No,n/a,No,Non-legume
Purshia,Yes,Actinorhizal,No,Non-legume
Pyracantha,No,n/a,No,Non-legume
Pyrus,No,n/a,No,Non-legume
Quercus,No,n/a,No,Non-legume
Quillaja,No,n/a,No,Non-legume
Raphidiocystis,No,n/a,No,Non-legume
Recchia,No,n/a,No,Non-legume
Reissekia,No,n/a,No,Non-legume
Retanilla,Yes,Actinorhizal,No,Non-legume
Reynosia,No,n/a,No,Non-legume
Rhamnella,No,n/a,No,Non-legume
Rhamnidium,No,n/a,No,Non-legume
Rhamnus,No,n/a,No,Non-legume
Rhaphiolepis,No,n/a,No,Non-legume
Rhinotropis,No,n/a,No,Non-legume
Rhodotypos,No,n/a,No,Non-legume
Rhoiptelea,No,n/a,No,Non-legume
Robinsoniodendron,No,n/a,No,Non-legume
Rosa,No,n/a,No,Non-legume
Rousselia,No,n/a,No,Non-legume
Rubus,No,n/a,No,Non-legume
Ruthalicia,No,n/a,No,Non-legume
Rytidostylis,No,n/a,No,Non-legume
Sageretia,No,n/a,No,Non-legume
Salomonia,No,n/a,No,Non-legume
Sanguisorba,No,n/a,No,Non-legume
Sarcochlamys,No,n/a,No,Non-legume
Sarcomphalus,No,n/a,No,Non-legume
Sarcopilea,No,n/a,No,Non-legume
Sarcopoterium,No,n/a,No,Non-legume
Schistocarpaea,No,n/a,No,Non-legume
Schizocarpum,No,n/a,No,Non-legume
Schizopepon,No,n/a,No,Non-legume
Scopella,No,n/a,No,Non-legume
Scopellaria,No,n/a,No,Non-legume
Scutia,No,n/a,No,Non-legume
Scyphosyce,No,n/a,No,Non-legume
Sechiopsis,No,n/a,No,Non-legume
Sechium,No,n/a,No,Non-legume
Securidaca,No,n/a,No,Non-legume
Selysia,No,n/a,No,Non-legume
Seyrigia,No,n/a,No,Non-legume
Shepherdia,Yes,Actinorhizal,No,Non-legume
Sibbaldia,No,n/a,No,Non-legume
Sibbaldianthe,No,n/a,No,Non-legume
Sibbaldiopsis,No,n/a,No,Non-legume
Sibiraea,No,n/a,No,Non-legume
Sicana,No,n/a,No,Non-legume
Sicydium,No,n/a,No,Non-legume
Sicyocarya,No,n/a,No,Non-legume
Sicyocaulis,No,n/a,No,Non-legume
Sicyos,No,n/a,No,Non-legume
Sicyosperma,No,n/a,No,Non-legume
Sieversia,No,n/a,No,Non-legume
Sinobaijiania,No,n/a,No,Non-legume
Siolmatra,No,n/a,No,Non-legume
Siraitia,No,n/a,No,Non-legume
Skottsbergiliana,No,n/a,No,Non-legume
Sloetiopsis,No,n/a,No,Non-legume
Smythea,No,n/a,No,Non-legume
Soleirolia,No,n/a,No,Non-legume
Solena,No,n/a,No,Non-legume
Sorbaria,No,n/a,No,Non-legume
Sorbaronia,No,n/a,No,Non-legume
Sorbocotoneaster,No,n/a,No,Non-legume
Sorbopyrus,No,n/a,No,Non-legume
Sorbus,No,n/a,No,Non-legume
Sorocea,No,n/a,No,Non-legume
Spenceria,No,n/a,No,Non-legume
Spiraea,No,n/a,No,Non-legume
Spiraeanthus,No,n/a,No,Non-legume
Spyridium,No,n/a,No,Non-legume
Stenanthemum,No,n/a,No,Non-legume
Stephanandra,No,n/a,No,Non-legume
Streblus,No,n/a,No,Non-legume
Suriana,No,n/a,No,Non-legume
Taxotrophis,No,n/a,No,Non-legume
Tecunumania,No,n/a,No,Non-legume
Telfairia,No,n/a,No,Non-legume
Tetraglochin,No,n/a,No,Non-legume
Tetrameles,No,n/a,No,Non-legume
Thladiantha,No,n/a,No,Non-legume
Ticodendron,No,n/a,No,Non-legume
Touchardia,No,n/a,No,Non-legume
Toxylon,No,n/a,No,Non-legume
Treculia,No,n/a,No,Non-legume
Trema,No,n/a,No,Non-legume
Trevoa,Yes,Actinorhizal,No,Non-legume
Trichocephalus,No,n/a,No,Non-legume
Trichosanthes,No,n/a,No,Non-legume
Triclisperma,No,n/a,No,Non-legume
Tricyclandra,No,n/a,No,Non-legume
Trigonobalanus,No,n/a,No,Non-legume
Trilepisium,No,n/a,No,Non-legume
Trochomeria,No,n/a,No,Non-legume
Trochomeriopsis,No,n/a,No,Non-legume
Trophis,No,n/a,No,Non-legume
Trymalium,No,n/a,No,Non-legume
Trymatococcus,No,n/a,No,Non-legume
Tumamoca,No,n/a,No,Non-legume
Ulmus,No,n/a,No,Non-legume
Urera,No,n/a,No,Non-legume
Urtica,No,n/a,No,Non-legume
Urticastrum,No,n/a,No,Non-legume
Utsetela,No,n/a,No,Non-legume
Vanieria,No,n/a,No,Non-legume
Vaseyanthus,No,n/a,No,Non-legume
Vauquelinia,No,n/a,No,Non-legume
Ventilago,No,n/a,No,Non-legume
Villebrunea,No,n/a,No,Non-legume
Waldsteinia,No,n/a,No,Non-legume
Wilbrandia,No,n/a,No,Non-legume
Woronowia,No,n/a,No,Non-legume
Xanthophyllum,No,n/a,No,Non-legume
Xerosicyos,No,n/a,No,Non-legume
Xerospiraea,No,n/a,No,Non-legume
Zanonia,No,n/a,No,Non-legume
Zehneria,No,n/a,No,Non-legume
Zelkova,No,n/a,No,Non-legume
Ziziphus,No,n/a,No,Non-legume
Zygosicyos,No,n/a,No,Non-legume
