Names	Index
Genista_occidentalis	128
Genista_haensleri	47.5
Xanthophyllum_wrayi	147.2
Laburnum_anagyroides	79.5
Dahlstedtia_pinnata	223.035
Dorstenia_holstii	166.636
Oxytropis_lambertii_var_bigelovii	92.5
Mimosa_quadrivalvis_var_angustata	92.5532
Lonchocarpus_hidalgensis	208.067
Rubus_poliothyrsus	283
Astragalus_brachycentrus	40
Pithecolobium_flexicaule	68.5
Lupinus_peruvianus_var_peruvianus	213.5
Lithocarpus_robinsonii	153.333
Pilea_angulata	261.05
Indigofera_colutea	64.42
Swartzia_jororii	123.327
Ventilago_dichotoma	208.667
Fragaria_moschata	330.207
Rosa_sphaeroidea	0
Prunus_zippeliana	175.69
Laportea_ardens	0
Berchemia_annamensis	114.143
Canavalia_gladiata	142.412
Isomacrolobium_leptorrhachis	135.867
Daviesia_arborea	194.83
Lupinus_rivularis	255.994
Amelanchier_gracilis	60
Inga_saltensis	121
Ulmus_laevis	289.846
Dussia_lehmannii	278.059
Distemonanthus_benthamianus	189.398
Harpalyce_pringlei	162.857
Coluria_longifolia	249.455
Melliniella_micrantha	82.4456
Ceanothus_integerrimus	135.077
Hemsleya_dulongjiangensis	435.8
Hedysarum_boreale_subsp_boreale	50.5
Phylloxylon_perrieri	130.533
Potentilla_litoralis	196.4
Margyricarpus_pinnatus	225.637
Crataegus_gracilior	164.5
Astragalus_hintonii	125
Mirbelia_platylobioides	130.143
Millettia_soyauxii	141.688
Rubus_scaberrimus	68
Boehmeria_nakashimae	80
Leptosema_chambersii	41.1533
Rosa_woodsii	149.52
Vachellia_macracantha	183.437
Baptisia_cinerea	74.1429
Astragalus_ampullarius	64.4
Ficus_macbridei	193.853
Malus_micromalus	145.476
Acacia_adsurgens	44.9771
Ficus_glandifera	287.143
Diplotropis_duckei	80
Dalea_nemaphyllidia	133.4
Lupinus_pilosissimus	91
Ficus_kurzii	166
Alchemilla_aemula	226
Rhamnus_goudotiana	105.5
Erythrina_gibbosa	332.877
Senegalia_tucumanensis	0
Acacia_pycnantha	118.59
Otholobium_stachyerum	145.162
Rubus_rosaefolius	187.083
Rubus_obsectifolius	90.5
Actinostemma_lobatum	223.941
Trigonobalanus_verticillata	298.861
Ceanothus_rigidus	109.5
Senna_skinneri	77.5
Elatostema_fagifolium	194.667
Dalea_brachystachya	93.3721
Mimosa_pringlei	130.35
Mimosa_pseudocallosa	209.833
Dalea_boliviana	75.5
Dunbaria_fusca	151.933
Pithecellobium_bipinnatum	189.385
Gouania_le-ratii	86
Peponium_sublitorale	0
Rhynchosia_acuminatissima	0
Rubus_infestisepalus	0
Spyridium_nitidum	130.551
Rosa_suffulta	0
Smithia_salsuginea	95.3333
Adenopodia_oaxacana	184.75
Senna_pistaciifolia	234.789
Fagus_lucida	152.571
Pilea_nicholasii	102
Eperua_leucantha	132.284
Vigna_gazensis	148.538
Muraltia_dumosa	91.25
Aeschynomene_compacta	232.941
Photinia_zhejiangensis	0
Mimosa_ursina	67
Indigofera_deightonii	111.659
Rhamnus_sargentiana	211.071
Desmodium_lineare	36.5
Derris_elliptica	237.455
Bauhinia_pansamalana	247.462
Rubus_spina-curva	172
Urera_alceifolia	186.167
Dendrolobium_triangulare	171.918
Machaerium_condensatum	0
Inga_brachyrhachis	151.131
Stryphnodendron_coriaceum	97.7176
Indigofera_pungens	145.478
Oxytropis_huddelsonii	369.443
Acacia_conferta	98.5145
Aspalathus_burchelliana	96.75
Gompholobium_confertum	85.7275
Spatholobus_gyrocarpus	215
Astragalus_glaux	61
Fagus_hayatae	318.079
Dendrocnide_urentissima	122.6
Tecunumania_quetzalteca	404.091
Astragalus_nokoensis	339
Bauhinia_dumosa	54.5
Swartzia_angustifoliola	65
Cynometra_sakalava	127.151
Eriosema_pulchellum	186.333
Mimosa_sicyocarpa	190.898
Indigofera_circinnata	71.5192
Millettia_borneensis	233.619
Rubus_loganobaccus	146.387
Thermopsis_mollis_var_fraxinifolia	124.667
Potentilla_uschakovii	322.5
Senegalia_nigrescens	86.401
Tephrosia_angustissima_var_curtissii	0
Ostrya_trichocarpa	87.5
Goniorrhachis_marginata	119.361
Arachis_herzogii	97.75
Sorbaria_arborea	202.667
Elatostema_macrophyllum	251.941
Centrosema_schottii	257.531
Inga_xalapensis	104.5
Oxytropis_albana	322.31
Rubus_teretiusculus	179.333
Ornithopus_sativus_subsp_sativus	62.5
Astragalus_soxmaniorum	66.1714
Samanea_inopinata	86
Albizia_lauii	0
Cotoneaster_uniflorus	252.931
Canavalia_aurita	144
Albizia_acle	172
Pilea_bemarivensis	169.7
Psoralea_axillaris	143.393
Polygaloides_paucifolia	193.046
Castanopsis_echinocarpa	366.61
Albizia_attopeuensis	67.5
Eriosema_terniflorum	58.5
Sesbania_cinerascens	68.2558
Lessertia_pauciflora	0
Archidendron_tjendanum	92.5
Astragalus_sanctae-crucis	25.5
Lonchocarpus_sericeus	125.388
Cliffortia_neglecta	137.8
Comptonia_asplenifolia	210.8
Monnina_pubescens	204.867
Casuarina_luehmannii	0
Amelanchier_ovalis	240.153
Crataegus_okennonii	173.911
Quercus_simulata	136.667
Rosa_arkansana	179.872
Cercocarpus_macrophyllus	211.018
Ancistrotropis_peduncularis	61
Begonia_ferramica	98.5
Crotalaria_orientalis	67.5714
Erythrina_tahitensis	132.5
Mimosa_pseudotrachycarpa	0
Betula_microphylla	267.238
Hicoria_myristiciformis	45.5
Lupinus_purpurascens	77.25
Desmodium_membranifolium	51.5
Vachellia_albicorticata	108.083
Bredemeyera_sylvestris	101
Lithocarpus_rassa	246.895
Sesbania_grandiflora	184.364
Crataegus_ovalis	87.5
Rubus_oblongifatus	86.5
Ficus_guaranitica	143.143
Liparia_genistoides	76
Dalbergia_multiflora	45
Dalbergia_mimosella	329
Begonia_bidentata	201.143
Rubus_lambertianus	209.205
Potentilla_megalantha	371.5
Pouzolzia_boiviniana	91
Otholobium_polystictum	127.208
Acacia_tenuissima	48.5885
Daviesia_grahamii	41.292
Smithia_elliotii	258.985
Leucaena_lempirana	144.5
Acacia_latzii	30.6154
Macroptilium_sabaraense	115.053
Schnella_macrostachya	118.8
Polygala_tenella	184.553
Cullen_corylifolium	165.667
Hylodesmum_leptopus	121.857
Photinia_euphlebia	64
Lespedeza_floribunda	144.07
Albizia_myriophylla	129.929
Inga_obtusata	0
Gurania_cissoides	0
Diphyllarium_mekongense	124.5
Astragalus_sieberi	54.3636
Lathyrus_variabilis	65
Erythrostemon_nicaraguensis	217.9
Acacia_pendula	130.91
Rosa_praelucens	199.5
Sarcopoterium_spinosum	130.585
Oreocnide_tonkinensis	117.9
Galactia_albifolora	0
Allocasuarina_corniculata	45.767
Dalbergia_pseudo-sissoo	212
Begonia_siamensis	48.5
Aspalathus_lebeckioides	119.556
Rhynchosia_totta_var_fenchelii	0
Macrolobium_grallator	203.2
Rhynchosia_rojasii	0
Ficus_tarennifolia	265.154
Cochliasanthus_caracalla	166.65
Hesperomeles_pernettyoides	374.125
Brongniartia_parvifolia	77.5
Myriocarpa_laevigata	184.786
Dorstenia_hirta	193.667
Lupinus_suksdorfii	94.2
Dalbergia_fischeri	98.2738
Baptisia_sulphurea	0
Urtica_linearifolia	266.844
Ateleia_cubensis	113.232
Comesperma_secundum	74.1962
Acmispon_maritimus	0
Macroptilium_arenarium	105.045
Crataegus_atrovirens	200.966
Lupinus_concinnus_subsp_concinnus	41.5
Monnina_phillyreoides	308.02
Quercus_×streimii	172
Trifolium_gordejevii	156.333
Rosa_graciliflora	274.561
Neptunia_dimorphantha	51.7113
Inga_sapindoides	245.468
Dorstenia_nummularia	183.286
Rubus_weizensis	175.306
Coussapoa_schunkei	61
Astragalus_coluteocarpus	171.75
Daviesia_brevifolia	144.166
Trifolium_barbigerum_var_andrewsii	128.7
Myrica_faya	205.018
Astragalus_pomphocalyx	60
Senegalia_wrightii	98.9855
Labichea_buettneriana	101.658
Begonia_congesta	151.4
Crataegus_egens	393
Anisophyllea_scortechinii	137.333
Ottleya_wrightii	98.8333
Polygala_savannarum	128.615
Sicyos_polyacanthos	153.767
Bleekrodea_tonkinensis	147.111
Spyridium_tricolor	94.2308
Desmodium_purpusii	248.018
Adesmia_prostrata	161.333
Dalea_zimapanica	172.398
Camptosema_pedicellatum	118.711
Lotus_laricus	49
Moldenhawera_emarginata	72.5
Dalea_caerulea	0
Zollernia_kanukuensis	99.5385
Cynometra_letestui	110.5
Hippocrepis_emerus	241.846
Pityrocarpa_obliqua	197.847
Mimosa_polyantha	0
Diphysa_americana	172.167
Tephrosia_brachyodon	0
Mimosa_phyllodinea	0
Medicago_polymorpha	125.857
Dicorynia_paraensis	131.283
Dialium_pobeguinii	0
Astragalus_flexuosus	135.038
Daviesia_latifolia	163.807
Ononis_alba	88.8
Mimosa_oblonga	152.5
Oreocnide_trinervis	225.2
Mimosa_sousae	141.111
Rosa_scleroxylon	0
Elaterium_carthagenense	0
Platysepalum_pulchrum	92.6364
Apodanthera_longipedicellata	48
Copaifera_reticulata	136.841
Potentilla_saximontana	108
Prosopis_denudans	85.75
Luetzelburgia_neurocarpa	55.3333
Crataegus_pentandra	188
Nothofagus_dombeyii	0
Sophora_prostrata	225.5
Potentilla_plumosa	219.75
Baptisia_villosa	99.5
Laportea_lanceolata	125.784
Phanera_aherniana	254
Muraltia_bondii	89.3333
Astragalus_pomonensis	95.26
Oxytropis_iranica	126.5
Begonia_cathayana	165.143
Adenocarpus_boudyi	101.273
Normandiodendron_bequaertii	150.062
Galactia_douradensis	103.5
Acacia_curvata	51.6923
Physostigma_venenosum	267.152
Quercus_munzii	30
Phylica_stenopetala	100.923
Crotalaria_doidgeae	95.35
Begonia_komoensis	180.964
Ampelocera_macrocarpa	266.917
Corylus_fargesii	188.857
Afzelia_bipindensis	135.258
Polygala_oreotrephes	0
Lotononis_carnosa	131.526
Koompassia_excelsa	105.333
Mimosa_tricephala	140.901
Morus_indica	352
Begonia_novogranatae	262.125
Centrosema_galeotii	153
Wisteria_frutescens	134.5
Crotalaria_decaryana	86.2941
