Species	Index
Senegalia_riparia	0.443052
Potentilla_concinna	0.641267
Rubus_banghamii	1.0598
Plagiosiphon_discifer	1.40581
Elatostema_lancifolium	1.50865
Chamaecrista_orenocensis	1.32522
Rubus_betulifolius	0.932508
Rubus_bicknellii	0.678396
Lupinus_rivularis	1.50439
Pultenaea_flexilis	0.930861
Geum_perincisum	0.323538
Hymenostegia_pellegrinii	1.21662
Cicer_oxyodon	0.274122
Platymiscium_trifoliolatum	0.500424
Crotalaria_ringoetii	0.553055
Psorothamnus_spinosus	0.0325148
Vigna_radiata	0.60917
Lupinus_uncinatus	0.650928
Duchesnea_indica	2.45405
Astragalus_hyalinus	0.243939
Coursetia_polyphylla	0.610353
Astragalus_subcinereus	0.389643
Adesmia_volckmannii	0.473789
Austrobryonia_pilbarensis	0.182817
Vicia_narbonensis	0.788963
Astragalus_limnocharis	0.520112
Ficus_stellaris	1.82487
Inga_tenuis	1.11875
Acmispon_grandiflorus	0.516114
Pteromonnina_polygonoides	0.454816
Polygala_arillata	1.10874
Ficus_leptoclada	1.46811
Vicia_caesarea	0.377486
Phaseolus_angustissimus	0.264467
Potentilla_albicans	0.56244
Rhynchosia_amabilis	0.888003
Crotalaria_muenzneri	0.780315
Albizia_salomonensis	0.86115
Rubus_scaberrimus	0.456483
Boehmeria_nakashimae	1.53536
Schnella_outimouta	0.947108
Trifolium_oxyodon	0.135608
Trifolium_subterraneum	0.917985
Ulmus_rubra	0.992895
Cenostigma_nordestinum	0.23655
Cassia_adenophylla	0.372617
Vachellia_caven	0.598965
Quercus_ternaticupula	1.05703
Ficus_glandifera	2.02453
Prunus_alleghaniensis	0.936164
Dalbergia_trichocarpa	0.810027
Desmodium_cuspidatum	1.01707
Malus_fusca	2.56811
Cheniella_clemensiorum	1.04674
Crotalaria_rogersii	0.561823
Trifolium_dasyurum	0.378496
Senegalia_tucumanensis	0.568002
Cotoneaster_langei	0.598428
Sibbaldia_phanerophlebia	0.374082
Flemingia_ineata	0.770338
Momordica_corymbifera	0.249258
Senna_skinneri	0.190839
Elatostema_fagifolium	1.14769
Astragalus_atropilosulus	0.717147
Craibia_affinis	0.648633
Crotalaria_mandrarensis	0.3866
Bauhinia_grevei	0.587153
Sesbania_virgata	0.837159
Dialium_pachyphyllum	0.313193
Acacia_wickhamii	0.362065
Neraudia_melastomifolia	0.893659
Rubus_ambigens	0.549683
Cotoneaster_sherriffii	0.574388
Deguelia_amazonica	1.27196
Indigofera_cecilii	0.862357
Albizia_masikororum	0.341217
Senna_pistaciifolia	0.879952
Mucuna_aimun	1.00467
Mariosousa_centralis	0.665164
Urera_aurantiaca	0.913237
Biancaea_decapetala	1.69018
Chamaecrista_duckeana	0.550807
Cojoba_arborea	0.917133
Casuarina_decaisneana	0.0864938
Ficus_jansii	0.959718
Prunus_oligantha	1.87176
Lotus_ononopsis	0.133292
Photinia_zhejiangensis	0.671603
Ototropis_multiflora	0.956572
Rhamnus_sargentiana	0.972353
Mirbelia_rubiifolia	0.407205
Gilletiodendron_pierreanum	1.20093
Lonchocarpus_lineatus	1.43468
Zonaria_canaliculata	0.379278
Lotus_wildii	0.899958
Anisophyllea_rhomboidea	1.84062
Tachigali_venusta	1.06541
Senegalia_tucumanensis	0.565812
Lupinus_albifrons_var_collinus	0.530825
Docynia_indica	0.968158
Crataegus_brainerdii	1.14442
Muraltia_muraltioides	0.359677
Indigofera_pretoriana	0.495322
Quercus_acapulcensis	0.404403
Lespedeza_capitata	0.952044
Colubrina_stricta	0.24067
Astragalus_sevangensis	0.512339
Senna_durangensis	0.0700553
Dendrolobium_thorelii	0.520456
Polylepis_subsericans	0.765943
Acmispon_dendroideus_var_veatchii	0.193254
Phylica_comosa	0.25484
Ficus_thunbergii	1.94105
Gomphogyne_peekelii	1.05397
Bossiaea_halophila	0.241563
Begonia_libera	1.43331
Ormosia_bahiensis	0.743774
Ficus_diamantiphylla	1.21447
Elatostema_hookerianum	1.21254
Begonia_staudtii	1.48817
Quercus_duraznillo	0.282991
Hippocrepis_salzmannii	0.395395
Guibourtia_tessmannii	0.717008
Goniorrhachis_marginata	0.581709
Mimosa_gracilis_subsp_capillipes	0.53598
Zygia_coccinea_var_macrophylla	0.581092
Spatholobus_parviflorus	0.523493
Muellera_fendleri	0.364012
Chamaecrista_fasciculata	0.805088
Onobrychis_viciaefolia	1.14604
Bauhinia_weberbaueri	0.573825
Albizia_corniculata	0.870691
Inga_xalapensis	0.783691
Ficus_trichopoda	0.699621
Didelotia_brevipaniculata	1.37461
Prioria_balsamifera	0.510816
Caragana_arborescens	0.673736
Cliffortia_spathulata	0.780279
Cajanus_crassus	0.959526
Quercus_ithaburensis	0.495416
Cliffortia_exilifolia	0.43558
Cayaponia_selysioides	1.17275
Astragalus_bicolor	0.389981
Cotoneaster_uniflorus	0.628478
Albizia_acle	1.53046
Celtis_schippii	1.51526
Ficus_bonplandiana	0.367909
Ficus_mariae	0.949961
Boehmeria_dura	1.68199
Rhynchosia_cinerea	0.836391
Rubus_mercieri	0.677154
Lupinus_polyphyllus_subsp_superbus	0.50167
Ulmus_laciniata	1.67799
Astragalus_schahrudensis	0.154904
Polygala_pubescens	0.114344
Lupinus_peirsonii	0.596504
Canavalia_piperi	0.556892
Polygala_leptocaulis	1.05055
Ficus_greenwoodii	1.76617
Onobrychis_gypsicola	0.0865979
Monnina_pubescens	0.697937
Lotus_arenarius	0.525637
Begonia_elegans	1.0728
Monnina_obtusifolia	0.866507
Astragalus_salmonis	0.312381
Dimorphandra_macrostachya	1.52707
Brosimum_conzattii	0.463706
Cercocarpus_macrophyllus	0.656857
Acacia_holosericea	0.501096
Rosa_henryi	1.26701
Oxylobium_cordifolium	0.998991
Rosa_lucidissima	1.01932
Rubus_macrostachys	1.0505
Astragalus_micranthellus	0.399493
Arachis_gracilis	0.774738
Pouzolzia_arachnoidea	0.846722
Pultenaea_purpurea	0.288787
Pterocarpus_ternatus	0.405149
Vachellia_albicorticata	0.573827
Naucleopsis_ulei	1.682
Astragalus_catabostrychos	0.114635
Acacia_mimica	0.294141
Aspalathus_trigona	0.304208
Rubus_lambertianus	1.55496
Rhamnus_pentapomica	0.578555
Dussia_atropurpurea	1.91467
Mimosa_uraguensis	0.933507
Cytisus_striatus	0.186623
Astragalus_mollis	0.472469
Acaciella_chamelensis	0.44006
Ateleia_standleyana	0.728303
Erophaca_baetica	0.157796
Astragalus_arkalycensis	0.586145
Rubus_leucanthus	1.32175
Xylia_torreana	0.470506
Desmodium_illinoense	0.844759
Vachellia_collinsii	0.830903
Dalbergia_subcymosa	1.37689
Vicia_americana	0.402509
Parasenegalia_visco	0.305368
Bredemeyera_barbeyana	0.656681
Ficus_capillipes	1.02736
Astragalus_pseudocytisoides	0.253051
Uraria_acaulis	0.608691
Alphitonia_ponderosa	1.03697
Indigofera_diversifolia	0.383558
Coccinia_adoensis	0.588903
Quercus_induta	1.67397
Psorothamnus_fremontii	0.132817
Senna_acuruensis	0.461246
Potentilla_macrosepala	0.888677
Archidendron_fagifolium	1.66281
Begonia_xishuiensis	0.554166
Oreocnide_tonkinensis	1.11333
Ceanothus_cyaneus	0.278698
Rosa_sikangensis	0.655248
Galactia_albifolora	0
Nothofagus_crenata	2.1809
Desmodium_scopulorum	0.138396
Chamaecrista_polymorpha	0.890874
Lonchocarpus_oaxacensis	0.582116
Inga_cordistipula	0.829964
Macrolobium_grallator	1.48078
Hesperomeles_pernettyoides	1.38455
Bauhinia_ramosissima	0.319458
Crotalaria_seemeniana	0.440564
Brongniartia_parvifolia	0.190839
Adesmia_horrida	0.157815
Cynometra_katikii	0.945818
Adenanthera_novoguineensis	0.879758
Alantsilodendron_brevipes	0.277799
Indigofera_swariensis	0
Rosa_davidii	0.801709
Ononis_rosea	0.394458
Ateleia_cubensis	0.880815
