species,DR
Pilea_stipulosa,0.631898010944149
Pilea_chartacea,0.377943557874579
Pilea_cadierei,0.391667740766276
Pilea_basicordata,0.391667740766276
Pilea_matsudai,0.297377031609539
Pilea_angulata,0.297377031609539
Pilea_longicaulis,0.192776623289375
Pilea_rubriflora,0.145107418950058
Pilea_dolichocarpa,0.145107418950058
Lecanthus_petelotii,0.116006722380461
Lecanthus_peduncularis,0.116006722380461
Urtica_berteroana,2.74596816956997
Urtica_circularis,2.74596816956997
Urtica_flabellata,1.6993405615701
Urtica_glomeruliflora,1.07914430975237
Urtica_trichantha,1.65497384607996
Urtica_andicola,1.65497384607996
Urtica_orizabae,1.24937638619027
Urtica_leptophylla,1.32181187110046
Urtica_longispica,1.32181187110046
Urtica_peruviana,0.978409080788621
Urtica_lalibertadensis,0.978409080788621
Urtica_macbridei,0.743851279831241
Urtica_echinata,0.467802554425917
Urtica_minutifolia,0.467802554425917
Urtica_domingensis,0.586554084093208
Urtica_subincisa,0.586554084093208
Urtica_spiralis,0.743561524992034
Urtica_gracilenta,0.743561524992034
Urtica_chamaedryoides,0.346398504281124
Hesperocnide_tenella,0.232314373074013
Urtica_ardens,1.17463319541022
Urtica_parviflora,1.17463319541022
Urtica_grandidentata,0.979966365602667
Urtica_zayuensis,1.0604176276167
Urtica_fissa,1.0604176276167
Urtica_mairei,0.513227214377746
Urtica_laetevirens,0.347100437496666
Urtica_fragilis,0.412911497139529
Urtica_morifolia,0.412911497139529
Urtica_platyphylla,0.585608490796506
Urtica_angustifolia,0.585608490796506
Urtica_kioviensis,0.359775769766569
Urtica_atrichocaulis,0.207879892920966
Urtica_dioica,0.719598003831455
Urtica_aquatica,0.719598003831455
Urtica_linearifolia,0.384789641736746
Urtica_massaica,0.194242752757105
Urtica_incisa,1.54206620085755
Urtica_australis,1.54206620085755
Urtica_taiwaniana,1.34097314311542
Urtica_papuana,1.34097314311542
Urtica_perconfusa,0.84524696225191
Urtica_aspera,0.84524696225191
Urtica_simensis,0.556805782312586
Urtica_atrovirens,0.556805782312586
Urtica_cannabina,0.477792081595914
Urtica_triangularis,0.477792081595914
Urtica_hyperborea,0.251319730635614
Urtica_ferox,0.209966690791341
Urtica_membranacea,0.209966690791341
Hesperocnide_sandwicensis,0.259963911735736
Urtica_stachyoides,0.259963911735736
Urtica_pilulifera,0.367943913764659
Urera_oblongifolia,0.367943913764659
Urtica_neubaueri,0.199307722934696
Zhengyia_shennongensis,0.123670279185671
Nanocnide_japonica,0.149308303247128
Nanocnide_lobata,0.149308303247128
Laportea_macrostachya,0.558676800387223
Laportea_bulbifera,0.558676800387223
